warmup=0  skip_sdma0=1

=== load: carregando checkpoint (ainda sem tracer) ===
    carregado em 6.0s

=== clip: encode do prompt ===
   364 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
   365 [clip        ] ANTES  aten.detach.default                          (768, 768):float16:cpu
   366 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
   367 [clip        ] ANTES  aten.detach.default                          (768, 768):float16:cpu
   368 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
   369 [clip        ] ANTES  aten.detach.default                          (768, 768):float16:cpu
   370 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
   371 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
   372 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
   373 [clip        ] ANTES  aten.detach.default                          (3072, 768):float16:cpu
   374 [clip        ] ANTES  aten.detach.default                          (3072,):float16:cpu
   375 [clip        ] ANTES  aten.detach.default                          (768, 3072):float16:cpu
   376 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
   377 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
   378 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
   379 [clip        ] ANTES  aten.detach.default                          (768, 768):float16:cpu
   380 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
   381 [clip        ] ANTES  aten.detach.default                          (768, 768):float16:cpu
   382 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
   383 [clip        ] ANTES  aten.detach.default                          (768, 768):float16:cpu
   384 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
   385 [clip        ] ANTES  aten.detach.default                          (768, 768):float16:cpu
   386 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
   387 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
